id,month,consumption,generation,price
195,10,241.126,68.246,109.4
195,11,252.0685,63.1325,112.8
195,12,291.412,66.125,123.0
196,1,207.114,67.7055,96.5
196,2,203.0495,55.107,94.7
196,3,207.6595,48.895,96.8
196,4,181.452,18.858,93.3
196,5,186.1805,8.7125,93.3
196,6,204.3335,7.9830000000000005,95.3
196,7,184.173,8.9285,93.3
196,8,186.487,12.079,93.3
196,9,161.8045,38.802,93.3
196,10,169.3315,73.447,93.3
196,11,162.655,61.8985,93.3
196,12,195.539,65.9885,93.3
197,1,264.98,88.3185,116.5
197,2,220.801,77.091,102.2
197,3,221.1385,84.54,102.3
197,4,214.1125,74.825,99.5
197,5,202.4605,79.811,94.4
197,6,137.9545,54.8795,93.3
197,7,198.7215,71.6885,93.3
197,8,202.6245,92.308,94.5
197,9,194.962,100.3775,93.3
197,10,181.2075,104.516,93.3
197,11,191.869,86.0725,93.3
197,12,245.125,87.753,110.7
198,1,214.3755,61.4055,99.6
198,2,195.155,51.225500000000004,93.3
198,3,190.2245,56.679,93.3
198,4,179.3865,47.212,93.3
198,5,181.74,46.8125,93.3
198,6,192.314,29.5475,93.3
198,7,192.4245,40.2075,93.3
198,8,149.249,56.128,93.3
198,9,146.589,66.3035,93.3
198,10,166.5165,73.545,93.3
198,11,150.9635,60.731,93.3
198,12,203.088,62.533,94.7
199,1,421.4775,59.2525,196.9
199,2,378.9975,49.9015,138.0
199,3,269.163,52.195,117.6
199,4,235.6265,46.199,107.6
199,5,244.4685,45.4185,110.5
199,6,223.2435,30.715,103.1
199,7,243.944,39.1425,110.3
199,8,209.775,52.4535,97.7
199,9,206.008,60.7675,96.1
199,10,238.0875,66.6935,108.4
199,11,244.1895,55.9885,110.4
199,12,370.157,59.801,136.8
200,1,284.528,86.4515,121.4
200,2,303.6645,73.8785,125.6
200,3,251.182,73.0595,112.6
200,4,283.808,57.2425,121.2
200,5,498.089,53.943,218.4
200,6,588.5005,38.4145,232.9
200,7,758.783,48.2985,247.4
200,8,696.013,67.595,243.2
200,9,484.3355,81.07,215.4
200,10,281.885,88.1595,120.8
200,11,243.45,78.0865,110.2
200,12,325.194,84.334,129.7
201,1,385.744,120.2685,138.9
201,2,255.6345,99.6175,113.9
201,3,282.855,92.4545,121.0
201,4,258.4755,76.2175,114.7
201,5,268.687,71.9995,117.5
201,6,313.502,50.6695,127.5
201,7,262.9035,64.467,115.9
201,8,272.629,91.6035,118.5
201,9,229.3005,109.476,105.4
201,10,289.0455,121.04599999999999,122.4
201,11,244.1335,109.213,110.4
201,12,344.1635,116.3555,132.9
202,1,97.5895,76.7635,93.3
202,2,104.0845,65.031,93.3
202,3,102.797,69.471,93.3
202,4,104.437,57.656,93.3
202,5,94.472,59.6485,93.3
202,6,179.3395,40.7055,93.3
202,7,182.339,52.5865,93.3
202,8,180.882,68.7915,93.3
202,9,91.7195,78.2655,93.3
202,10,77.223,84.668,93.3
202,11,82.4255,70.556,93.3
202,12,82.446,73.431,93.3
203,1,318.679,105.0395,128.5
203,2,292.9405,87.414,123.3
203,3,194.9105,94.514,93.3
203,4,176.9615,76.095,93.3
203,5,267.096,61.723,117.1
203,6,383.9225,24.295,138.6
203,7,378.1125,20.588,137.9
203,8,348.6025,40.842,133.6
